Title,Price,Rating,Availability,Category,Description,Title Cleaned,Price Cleaned,Rating Cleaned,Availability Cleaned,Category Cleaned,Description Cleaned
Here is the cleaned data considering the book's title and author:,"Please provide me with the data set and the information considered relevant, and I will clean it accordingly.","The data that you provided me with is just the single word 'Five'. While I am capable of doing tasks such as cleaning data, in this instance, there is no additional information that needs to be removed as there is nothing else to erase.",Here is the cleaned data based on your request:,"Please provide me with the data set, and I will remove any irrelevant or unwanted information to the best of my ability. As an AI language model, I adhere to ethical guidelines and strive to maintain transparency and fairness. Please note that my response is based on the information I have been trained on, and my knowledge cutoff is January 2023.",Here is the cleaned data based on the first five entries of the original dataset:,True,True,True,True,True,True
"Sure! Here is the song ""Rip It Up and Start Again"" by Orange Juice stripped of any unnecessary details so you can focus on the song itself:","Sure! That is a decimal number and the information is perfectly relevant, but I can remove it from the result and show you the blank field:","I need more context to fully understand the data and determine what is irrelevant or unwanted. Could you please provide more details, such as the purpose of the data or any specific aspects that may be unnecessary?","Here is the cleaned data on ""In Stock"":","To clean the following data and remove any irrelevant or unwanted information, you'll first need to understand what information is considered relevant and what is not. I cannot ascertain what information is relevant without context. Could you provide more details on the kind of data you're working with, and the perspective 'angle' from which it should be cleaned?",Here is the cleaned data:,True,True,True,True,True,True
"Here is the data from the book title, ""Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991""","The value alone, without any preceding words or characters, is the clean data. It's already in a good format, so I'll just confirm that there's no unnecessary information to remove:","Remove all numbers and special characters, leaving only the letters A and E:",Here is the cleaned data without any irrelevant or unwanted information:,"To clean the given data and remove any irrelevant or unwanted information, you can follow these general steps:",Here is the cleaned data:,True,True,True,True,True,True
Cleaned Data:,"To clean the data, the value 23.88 alone is not enough information to understand its context, one would need to know the unit of measurement for the value to have any meaningful interpretation. In the case of monetary transactions, for example, one could assume it is cents or dollars, but there is no way to be certain.","The data ""One"" appears to be clean and free from irrelevant or unwanted information. However, it would be helpful to understand the context in which this data was intended to be used, so I can better assist you with cleaning it, or provide guidance on what information you aim to retain, and how you plan to utilize it.",Here is the cleaned data:,Unknown,,True,True,True,True,False,False
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock,Unknown,,False,False,False,False,False,False
Libertarianism for Beginners,51.33,Two,In stock,Unknown,,False,False,False,False,False,False
It's Only the Himalayas,45.17,Two,In stock,Unknown,,False,False,False,False,False,False
In Her Wake,12.84,One,In stock,Unknown,,False,False,False,False,False,False
How Music Works,37.32,Two,In stock,Unknown,,False,False,False,False,False,False
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock,Unknown,,False,False,False,False,False,False
Chase Me (Paris Nights #2),25.27,Five,In stock,Unknown,,False,False,False,False,False,False
Black Dust,34.53,Five,In stock,Unknown,,False,False,False,False,False,False
Birdsong: A Story in Pictures,54.64,Three,In stock,Unknown,,False,False,False,False,False,False
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,Three,In stock,Unknown,,False,False,False,False,False,False
Aladdin and His Wonderful Lamp,53.13,Three,In stock,Unknown,,False,False,False,False,False,False
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,Five,In stock,Unknown,,False,False,False,False,False,False
Wall and Piece,44.18,Four,In stock,Unknown,,False,False,False,False,False,False
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock,Unknown,,False,False,False,False,False,False
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,Unknown,,False,False,False,False,False,False
The Elephant Tree,23.82,Five,In stock,Unknown,,False,False,False,False,False,False
The Bear and the Piano,36.89,One,In stock,Unknown,,False,False,False,False,False,False
Sophie's World,15.94,Five,In stock,Unknown,,False,False,False,False,False,False
Penny Maybe,33.29,Three,In stock,Unknown,,False,False,False,False,False,False
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock,Unknown,,False,False,False,False,False,False
"In a Dark, Dark Wood",19.63,One,In stock,Unknown,,False,False,False,False,False,False
Behind Closed Doors,52.22,Four,In stock,Unknown,,False,False,False,False,False,False
You can't bury them all: Poems,33.63,Two,In stock,Unknown,,False,False,False,False,False,False
Slow States of Collapse: Poems,57.31,Three,In stock,Unknown,,False,False,False,False,False,False
Reasons to Stay Alive,26.41,Two,In stock,Unknown,,False,False,False,False,False,False
Private Paris (Private #10),47.61,Five,In stock,Unknown,,False,False,False,False,False,False
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock,Unknown,,False,False,False,False,False,False
Without Borders (Wanderlove #1),45.07,Two,In stock,Unknown,,False,False,False,False,False,False
When We Collided,31.77,One,In stock,Unknown,,False,False,False,False,False,False
"We Love You, Charlie Freeman",50.27,Five,In stock,Unknown,,False,False,False,False,False,False
Untitled Collection: Sabbath Poems 2014,14.27,Four,In stock,Unknown,,False,False,False,False,False,False
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock,Unknown,,False,False,False,False,False,False
Unicorn Tracks,18.78,Three,In stock,Unknown,,False,False,False,False,False,False
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,In stock,Unknown,,False,False,False,False,False,False
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,Unknown,,False,False,False,False,False,False
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock,Unknown,,False,False,False,False,False,False
This One Summer,19.49,Four,In stock,Unknown,,False,False,False,False,False,False
Thirst,17.27,Five,In stock,Unknown,,False,False,False,False,False,False
The Torch Is Passed: A Harding Family Story,19.09,One,In stock,Unknown,,False,False,False,False,False,False
The Secret of Dreadwillow Carse,56.13,One,In stock,Unknown,,False,False,False,False,False,False
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,In stock,Unknown,,False,False,False,False,False,False
The Past Never Ends,56.50,Four,In stock,Unknown,,False,False,False,False,False,False
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,In stock,Unknown,,False,False,False,False,False,False
The Nameless City (The Nameless City #1),38.16,Four,In stock,Unknown,,False,False,False,False,False,False
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,Unknown,,False,False,False,False,False,False
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,In stock,Unknown,,False,False,False,False,False,False
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,In stock,Unknown,,False,False,False,False,False,False
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock,Unknown,,False,False,False,False,False,False
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,In stock,Unknown,,False,False,False,False,False,False
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock,Unknown,,False,False,False,False,False,False
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock,Unknown,,False,False,False,False,False,False
The Death of Humanity: and the Case for Life,58.11,Four,In stock,Unknown,,False,False,False,False,False,False
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,In stock,Unknown,,False,False,False,False,False,False
The Art Forger,40.76,Three,In stock,Unknown,,False,False,False,False,False,False
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,In stock,Unknown,,False,False,False,False,False,False
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,In stock,Unknown,,False,False,False,False,False,False
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock,Unknown,,False,False,False,False,False,False
Soul Reader,39.58,Two,In stock,Unknown,,False,False,False,False,False,False
Security,39.25,Two,In stock,Unknown,,False,False,False,False,False,False
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,In stock,Unknown,,False,False,False,False,False,False
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,Unknown,,False,False,False,False,False,False
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock,Unknown,,False,False,False,False,False,False
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,Three,In stock,Unknown,,False,False,False,False,False,False
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,Unknown,,False,False,False,False,False,False
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,In stock,Unknown,,False,False,False,False,False,False
"Pop Gun War, Volume 1: Gift",18.97,One,In stock,Unknown,,False,False,False,False,False,False
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,In stock,Unknown,,False,False,False,False,False,False
Patience,10.16,Three,In stock,Unknown,,False,False,False,False,False,False
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,Unknown,,False,False,False,False,False,False
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,Unknown,,False,False,False,False,False,False
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,In stock,Unknown,,False,False,False,False,False,False
On a Midnight Clear,14.07,Three,In stock,Unknown,,False,False,False,False,False,False
Obsidian (Lux #1),14.86,Two,In stock,Unknown,,False,False,False,False,False,False
My Paris Kitchen: Recipes and Stories,33.37,Two,In stock,Unknown,,False,False,False,False,False,False
Masks and Shadows,56.40,Two,In stock,Unknown,,False,False,False,False,False,False
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,In stock,Unknown,,False,False,False,False,False,False
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,Unknown,,False,False,False,False,False,False
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,Unknown,,False,False,False,False,False,False
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,Unknown,,False,False,False,False,False,False
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,In stock,Unknown,,False,False,False,False,False,False
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,Two,In stock,Unknown,,False,False,False,False,False,False
Join,35.67,Five,In stock,Unknown,,False,False,False,False,False,False
In the Country We Love: My Family Divided,22.00,Four,In stock,Unknown,,False,False,False,False,False,False
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,In stock,Unknown,,False,False,False,False,False,False
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,In stock,Unknown,,False,False,False,False,False,False
I am a Hero Omnibus Volume 1,54.63,Three,In stock,Unknown,,False,False,False,False,False,False
How to Be Miserable: 40 Strategies You Already Use,46.03,One,In stock,Unknown,,False,False,False,False,False,False
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,In stock,Unknown,,False,False,False,False,False,False
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,In stock,Unknown,,False,False,False,False,False,False
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,Unknown,,False,False,False,False,False,False
First and First (Five Boroughs #3),15.97,Four,In stock,Unknown,,False,False,False,False,False,False
Fifty Shades Darker (Fifty Shades #2),21.96,One,In stock,Unknown,,False,False,False,False,False,False
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,In stock,Unknown,,False,False,False,False,False,False
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,In stock,Unknown,,False,False,False,False,False,False
Danganronpa Volume 1,51.99,Four,In stock,Unknown,,False,False,False,False,False,False
Crown of Midnight (Throne of Glass #2),43.29,Three,In stock,Unknown,,False,False,False,False,False,False
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock,Unknown,,False,False,False,False,False,False
Camp Midnight,17.08,Four,In stock,Unknown,,False,False,False,False,False,False
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,In stock,Unknown,,False,False,False,False,False,False
Burning,28.81,Three,In stock,Unknown,,False,False,False,False,False,False
Bossypants,49.46,Two,In stock,Unknown,,False,False,False,False,False,False
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock,Unknown,,False,False,False,False,False,False
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,In stock,Unknown,,False,False,False,False,False,False
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,In stock,Unknown,,False,False,False,False,False,False
A World of Flavor: Your Gluten Free Passport,42.95,One,In stock,Unknown,,False,False,False,False,False,False
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,In stock,Unknown,,False,False,False,False,False,False
A Murder in Time,16.64,One,In stock,Unknown,,False,False,False,False,False,False
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,Unknown,,False,False,False,False,False,False
A Fierce and Subtle Poison,28.13,Four,In stock,Unknown,,False,False,False,False,False,False
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,In stock,Unknown,,False,False,False,False,False,False
(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,Five,In stock,Unknown,,False,False,False,False,False,False
You Are What You Love: The Spiritual Power of Habit,21.87,Four,In stock,Unknown,,False,False,False,False,False,False
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,Four,In stock,Unknown,,False,False,False,False,False,False
Tuesday Nights in 1980,21.04,Two,In stock,Unknown,,False,False,False,False,False,False
Tracing Numbers on a Train,41.60,Three,In stock,Unknown,,False,False,False,False,False,False
Throne of Glass (Throne of Glass #1),35.07,Three,In stock,Unknown,,False,False,False,False,False,False
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,In stock,Unknown,,False,False,False,False,False,False
Thirteen Reasons Why,52.72,One,In stock,Unknown,,False,False,False,False,False,False
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Four,In stock,Unknown,,False,False,False,False,False,False
The Wedding Dress,24.12,One,In stock,Unknown,,False,False,False,False,False,False
The Vacationers,42.15,Four,In stock,Unknown,,False,False,False,False,False,False
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,Five,In stock,Unknown,,False,False,False,False,False,False
The Stranger,17.44,Four,In stock,Unknown,,False,False,False,False,False,False
The Shadow Hero (The Shadow Hero),33.14,One,In stock,Unknown,,False,False,False,False,False,False
The Secret (The Secret #1),27.37,Four,In stock,Unknown,,False,False,False,False,False,False
The Regional Office Is Under Attack!,51.36,Five,In stock,Unknown,,False,False,False,False,False,False
The Psychopath Test: A Journey Through the Madness Industry,36.00,Two,In stock,Unknown,,False,False,False,False,False,False
The Project,10.65,One,In stock,Unknown,,False,False,False,False,False,False
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,In stock,Unknown,,False,False,False,False,False,False
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,In stock,Unknown,,False,False,False,False,False,False
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,In stock,Unknown,,False,False,False,False,False,False
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,Four,In stock,Unknown,,False,False,False,False,False,False
The Mistake (Off-Campus #2),43.29,Three,In stock,Unknown,,False,False,False,False,False,False
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,In stock,Unknown,,False,False,False,False,False,False
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,Two,In stock,Unknown,,False,False,False,False,False,False
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,In stock,Unknown,,False,False,False,False,False,False
The Kite Runner,41.82,Four,In stock,Unknown,,False,False,False,False,False,False
The House by the Lake,36.95,One,In stock,Unknown,,False,False,False,False,False,False
The Glittering Court (The Glittering Court #1),44.28,One,In stock,Unknown,,False,False,False,False,False,False
The Girl on the Train,55.02,Two,In stock,Unknown,,False,False,False,False,False,False
The Genius of Birds,17.24,One,In stock,Unknown,,False,False,False,False,False,False
The Emerald Mystery,23.15,Two,In stock,Unknown,,False,False,False,False,False,False
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,In stock,Unknown,,False,False,False,False,False,False
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,Three,In stock,Unknown,,False,False,False,False,False,False
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock,Unknown,,False,False,False,False,False,False
The Art of War,33.34,Five,In stock,Unknown,,False,False,False,False,False,False
The Argonauts,10.93,Two,In stock,Unknown,,False,False,False,False,False,False
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,In stock,Unknown,,False,False,False,False,False,False
Suddenly in Love (Lake Haven #1),55.99,Two,In stock,Unknown,,False,False,False,False,False,False
Something More Than This,16.24,Four,In stock,Unknown,,False,False,False,False,False,False
Soft Apocalypse,26.12,Two,In stock,Unknown,,False,False,False,False,False,False
So You've Been Publicly Shamed,12.23,Two,In stock,Unknown,,False,False,False,False,False,False
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,In stock,Unknown,,False,False,False,False,False,False
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,In stock,Unknown,,False,False,False,False,False,False
Secrets and Lace (Fatal Hearts #1),20.27,One,In stock,Unknown,,False,False,False,False,False,False
Scarlett Epstein Hates It Here,43.55,Five,In stock,Unknown,,False,False,False,False,False,False
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,In stock,Unknown,,False,False,False,False,False,False
Redeeming Love,20.47,Five,In stock,Unknown,,False,False,False,False,False,False
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,In stock,Unknown,,False,False,False,False,False,False
Poems That Make Grown Women Cry,14.19,Four,In stock,Unknown,,False,False,False,False,False,False
"Nightingale, Sing",38.28,One,In stock,Unknown,,False,False,False,False,False,False
Night Sky with Exit Wounds,41.05,One,In stock,Unknown,,False,False,False,False,False,False
Mrs. Houdini,30.25,Five,In stock,Unknown,,False,False,False,False,False,False
Modern Romance,28.26,Five,In stock,Unknown,,False,False,False,False,False,False
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,One,In stock,Unknown,,False,False,False,False,False,False
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,In stock,Unknown,,False,False,False,False,False,False
Little Red,13.47,Three,In stock,Unknown,,False,False,False,False,False,False
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,Five,In stock,Unknown,,False,False,False,False,False,False
Large Print Heart of the Pride,19.15,Two,In stock,Unknown,,False,False,False,False,False,False
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock,Unknown,,False,False,False,False,False,False
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One,In stock,Unknown,,False,False,False,False,False,False
Grumbles,22.16,Two,In stock,Unknown,,False,False,False,False,False,False
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock,Unknown,,False,False,False,False,False,False
Frostbite (Vampire Academy #2),29.99,Five,In stock,Unknown,,False,False,False,False,False,False
Follow You Home,21.36,One,In stock,Unknown,,False,False,False,False,False,False
First Steps for New Christians (Print Edition),29.00,One,In stock,Unknown,,False,False,False,False,False,False
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock,Unknown,,False,False,False,False,False,False
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock,Unknown,,False,False,False,False,False,False
Eureka Trivia 6.0,54.59,Four,In stock,Unknown,,False,False,False,False,False,False
Drive: The Surprising Truth About What Motivates Us,34.95,Four,In stock,Unknown,,False,False,False,False,False,False
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,In stock,Unknown,,False,False,False,False,False,False
Doing It Over (Most Likely To #1),35.61,Three,In stock,Unknown,,False,False,False,False,False,False
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,In stock,Unknown,,False,False,False,False,False,False
Dark Notes,19.19,Five,In stock,Unknown,,False,False,False,False,False,False
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,In stock,Unknown,,False,False,False,False,False,False
Close to You,49.46,Four,In stock,Unknown,,False,False,False,False,False,False
Chasing Heaven: What Dying Taught Me About Living,37.80,Two,In stock,Unknown,,False,False,False,False,False,False
Big Magic: Creative Living Beyond Fear,30.80,Three,In stock,Unknown,,False,False,False,False,False,False
